iter	Kappa	MultiClass
0	0.3432089346	1.062129368
1	0.3173652484	1.030878723
2	0.2940867583	1.003386856
3	0.2884460767	0.9779356507
4	0.3009695806	0.9544994417
5	0.3046782489	0.9337487448
6	0.3114256473	0.9152392174
7	0.3050357689	0.8981117614
8	0.3137688874	0.8823077385
9	0.3130382445	0.868685207
10	0.3185381595	0.8551711624
11	0.3206263594	0.8430213934
12	0.3276960521	0.8320503144
13	0.3257871486	0.8214658598
14	0.3291670018	0.8119305309
15	0.3310719253	0.8028424622
16	0.3315198828	0.7945232804
17	0.3304108335	0.786487411
18	0.3336129486	0.7796874863
19	0.3375274859	0.7719736638
20	0.3365559308	0.7659415965
21	0.340368065	0.7601471388
22	0.3427652893	0.7541958527
23	0.344114298	0.7491085131
24	0.3480210742	0.7436658798
25	0.348805727	0.7391804571
26	0.3480757274	0.7348759722
27	0.3465630538	0.7310846013
28	0.3509946165	0.7270792127
29	0.3529354826	0.723370427
30	0.3551055857	0.7199904123
31	0.3574920766	0.7164908782
32	0.362934238	0.7131764153
33	0.3648754765	0.7101789634
34	0.3660050119	0.7073940263
35	0.3665630667	0.705029252
36	0.368596174	0.702868444
37	0.3675179194	0.7006119863
38	0.3698740354	0.6981275402
39	0.3691931331	0.6959470962
40	0.3692335008	0.6939409448
41	0.3683849836	0.6924910161
42	0.3686823582	0.6904020471
43	0.3711637002	0.6889274065
44	0.3722309982	0.6870880351
45	0.372884389	0.6855036091
46	0.3736658987	0.6841430812
47	0.372981213	0.6830124819
48	0.3736475579	0.6818189271
49	0.3748098859	0.6803045052
50	0.3755300315	0.6789708226
51	0.3773996138	0.6774539497
52	0.377311049	0.6765035765
53	0.3775769932	0.6754481455
54	0.3785820987	0.6742047011
55	0.3805793209	0.6727123016
56	0.3822092757	0.671356249
57	0.3832162838	0.670166718
58	0.3837774274	0.6693172974
59	0.3848857233	0.6681641977
60	0.3863157931	0.6671217446
61	0.3871228667	0.665870454
62	0.3875666266	0.6647867338
63	0.3884261804	0.6641259148
64	0.3887584972	0.6633313901
65	0.3901364528	0.6623754119
66	0.3914332698	0.6615831931
67	0.3916819337	0.6606984297
68	0.392264826	0.659875276
69	0.391624411	0.6591804004
70	0.391787676	0.6587589587
71	0.3923035741	0.6579524881
72	0.3934819109	0.6569233304
73	0.3948831816	0.6562083743
74	0.3948654532	0.6556021428
75	0.3962053037	0.6551987034
76	0.396209521	0.65452838
77	0.3971882205	0.6540334443
78	0.3982835795	0.653324192
79	0.3993173289	0.6526833157
80	0.3989982378	0.6521550223
81	0.4009850648	0.6516567183
82	0.4025040571	0.6509241974
83	0.4028664781	0.6503908146
84	0.4035953291	0.6499480129
