iter	Passed	Remaining
0	45	91542
1	82	82418
2	143	95736
3	180	89976
4	228	91367
5	275	91516
6	325	92748
7	362	90225
8	418	92547
9	452	90034
10	511	92512
11	545	90450
12	590	90290
13	624	88617
14	684	90537
15	714	88631
16	761	88774
17	795	87540
18	841	87735
19	890	88139
20	941	88754
21	977	87849
22	1025	88126
23	1057	87102
24	1105	87322
25	1138	86428
26	1182	86446
27	1227	86417
28	1274	86656
29	1318	86560
30	1369	86983
31	1402	86263
32	1449	86378
33	1481	85684
34	1526	85675
35	1560	85107
36	1602	85000
37	1632	84278
38	1674	84199
39	1705	83589
40	1761	84160
41	1813	84551
42	1884	85751
43	1961	87218
44	2013	87477
45	2057	87404
46	2104	87457
47	2137	86934
48	2184	86959
49	2228	86893
50	2274	86937
51	2307	86431
52	2354	86478
53	2385	85971
54	2428	85863
55	2459	85371
56	2510	85567
57	2541	85085
58	2588	85170
59	2618	84660
60	2658	84511
61	2689	84067
62	2747	84466
63	2797	84609
64	2842	84632
65	2880	84398
66	2932	84590
67	2982	84729
68	3026	84691
69	3074	84780
70	3117	84712
71	3147	84296
72	3198	84435
73	3227	83994
74	3275	84072
75	3303	83632
76	3343	83506
77	3375	83166
78	3416	83078
79	3446	82721
80	3488	82653
81	3537	82750
82	3578	82652
83	3609	82334
84	3650	82248
85	3677	81850
86	3729	82001
87	3760	81701
88	3806	81734
89	3836	81424
90	3884	81493
91	3931	81538
92	3973	81482
93	4005	81211
94	4046	81141
95	4076	80850
96	4120	80834
97	4165	80838
98	4211	80876
99	4241	80586
100	4280	80477
101	4309	80189
102	4348	80095
103	4377	79801
104	4430	79961
105	4460	79700
106	4501	79631
107	4539	79530
108	4577	79406
109	4618	79361
110	4657	79266
111	4686	78999
112	4726	78923
113	4753	78637
114	4793	78570
115	4820	78297
116	4869	78362
117	4912	78349
118	4966	78502
119	4995	78267
120	5034	78183
121	5070	78057
122	5113	78036
123	5142	77797
124	5183	77749
125	5210	77502
126	5258	77554
127	5285	77307
128	5336	77403
129	5364	77166
130	5401	77057
131	5446	77075
132	5482	76954
133	5507	76698
134	5544	76594
135	5572	76373
136	5616	76372
137	5642	76136
138	5678	76028
139	5704	75794
140	5741	75702
141	5771	75519
142	5819	75576
143	5848	75386
144	5898	75460
145	5927	75270
146	5966	75208
147	6005	75148
148	6045	75096
149	6072	74893
150	6110	74821
151	6148	74752
152	6185	74673
153	6212	74470
154	6258	74495
155	6286	74304
156	6335	74369
157	6360	74147
158	6394	74041
159	6422	73854
160	6460	73798
161	6508	73839
162	6544	73761
163	6571	73563
164	6621	73637
165	6649	73461
166	6686	73391
167	6731	73401
168	6780	73459
169	6827	73495
170	6880	73591
171	6910	73443
172	6966	73569
173	6993	73394
174	7038	73406
175	7069	73262
176	7109	73225
177	7136	73049
178	7180	73044
179	7209	72900
180	7246	72826
181	7272	72648
182	7324	72723
183	7353	72575
184	7399	72594
185	7429	72461
186	7468	72405
187	7506	72353
188	7545	72299
189	7585	72258
190	7621	72186
191	7646	72008
192	7704	72131
193	7750	72147
194	7798	72185
195	7848	72233
196	7910	72396
197	7957	72416
198	8018	72568
199	8056	72504
200	8105	72542
201	8135	72409
202	8182	72432
203	8213	72306
204	8253	72267
205	8288	72180
206	8326	72125
207	8354	71976
208	8392	71921
209	8431	71869
